Milan Michalek | Ottawa Senators | Tripping | 01/03/2015 | Boston Bruins | Away | Wes McCauley, Dean Morton
Eric Gryba | Ottawa Senators | Holding the stick | 01/04/2015 | Tampa Bay Lightning | Home | Chris Rooney, Eric Furlatt
Erik Karlsson | Ottawa Senators | Delaying Game-Puck over glass | 01/04/2015 | Tampa Bay Lightning | Home | Chris Rooney, Eric Furlatt
Clarke MacArthur | Ottawa Senators | Hooking | 01/04/2015 | Tampa Bay Lightning | Home | Chris Rooney, Eric Furlatt
Cody Ceci | Ottawa Senators | Hooking | 01/04/2015 | Tampa Bay Lightning | Home | Chris Rooney, Eric Furlatt
Alex Chiasson | Ottawa Senators | Hooking | 01/04/2015 | Tampa Bay Lightning | Home | Chris Rooney, Eric Furlatt
Chris Phillips | Ottawa Senators | Illegal Check To Head | 01/04/2015 | Tampa Bay Lightning | Home | Chris Rooney, Eric Furlatt
Mike Hoffman | Ottawa Senators | Cross checking | 01/04/2015 | Tampa Bay Lightning | Home | Chris Rooney, Eric Furlatt
Erik Karlsson | Ottawa Senators | Hooking | 01/04/2015 | Tampa Bay Lightning | Home | Chris Rooney, Eric Furlatt
Erik Karlsson | Ottawa Senators | Unsportsmanlike conduct | 01/04/2015 | Tampa Bay Lightning | Home | Chris Rooney, Eric Furlatt
Milan Michalek | Ottawa Senators | Holding | 01/06/2015 | Philadelphia Flyers | Away | Francis Charron, Greg Kimmerly
David Legwand | Ottawa Senators | Tripping | 01/06/2015 | Philadelphia Flyers | Away | Francis Charron, Greg Kimmerly
Colin Greening | Ottawa Senators | Fighting (maj) | 01/06/2015 | Philadelphia Flyers | Away | Francis Charron, Greg Kimmerly
Jared Cowen | Ottawa Senators | Holding | 01/06/2015 | Philadelphia Flyers | Away | Francis Charron, Greg Kimmerly
Clarke MacArthur | Ottawa Senators | Hooking | 01/06/2015 | Philadelphia Flyers | Away | Francis Charron, Greg Kimmerly
Jared Cowen | Ottawa Senators | Hooking | 01/08/2015 | Colorado Avalanche | Away | Dan O'Halloran, Kyle Rehman
Erik Karlsson | Ottawa Senators | Slashing | 01/08/2015 | Colorado Avalanche | Away | Dan O'Halloran, Kyle Rehman
Marc Methot | Ottawa Senators | Interference | 01/10/2015 | Arizona Coyotes | Away | Dave Jackson, Ian Walsh
Jared Cowen | Ottawa Senators | Holding | 01/10/2015 | Arizona Coyotes | Away | Dave Jackson, Ian Walsh
Milan Michalek | Ottawa Senators | Tripping | 01/10/2015 | Arizona Coyotes | Away | Dave Jackson, Ian Walsh
Mika Zibanejad | Ottawa Senators | Too many men/ice - bench | 01/10/2015 | Arizona Coyotes | Away | Dave Jackson, Ian Walsh
Curtis Lazar | Ottawa Senators | Interference on goalkeeper | 01/10/2015 | Arizona Coyotes | Away | Dave Jackson, Ian Walsh
David Legwand | Ottawa Senators | Holding the stick | 01/13/2015 | Dallas Stars | Away | Brad Meier, Trevor Hanson
Erik Karlsson | Ottawa Senators | Interference | 01/13/2015 | Dallas Stars | Away | Brad Meier, Trevor Hanson
Bobby Ryan | Ottawa Senators | Tripping | 01/13/2015 | Dallas Stars | Away | Brad Meier, Trevor Hanson
Eric Gryba | Ottawa Senators | Hooking | 01/15/2015 | Montreal Canadiens | Home | Francis Charron, Dan O'Rourke
Cody Ceci | Ottawa Senators | Hooking | 01/15/2015 | Montreal Canadiens | Home | Francis Charron, Dan O'Rourke
Clarke MacArthur | Ottawa Senators | Hi-sticking | 01/15/2015 | Montreal Canadiens | Home | Francis Charron, Dan O'Rourke
Mark Stone | Ottawa Senators | Tripping | 01/15/2015 | Montreal Canadiens | Home | Francis Charron, Dan O'Rourke
Erik Karlsson | Ottawa Senators | Tripping | 01/17/2015 | Carolina Hurricanes | Home | Paul Devorski, Kendrick Nicholson
Bobby Ryan | Ottawa Senators | Too many men/ice - bench | 01/17/2015 | Carolina Hurricanes | Home | Paul Devorski, Kendrick Nicholson
Mark Stone | Ottawa Senators | Hi-sticking | 01/17/2015 | Carolina Hurricanes | Home | Paul Devorski, Kendrick Nicholson
David Legwand | Ottawa Senators | Hi-sticking | 01/17/2015 | Carolina Hurricanes | Home | Paul Devorski, Kendrick Nicholson
Mike Hoffman | Ottawa Senators | Hi-sticking | 01/20/2015 | NY Rangers | Away | Greg Kimmerly, Brad Meier
David Legwand | Ottawa Senators | Holding | 01/20/2015 | NY Rangers | Away | Greg Kimmerly, Brad Meier
Eric Gryba | Ottawa Senators | Hi-sticking | 01/20/2015 | NY Rangers | Away | Greg Kimmerly, Brad Meier
Milan Michalek | Ottawa Senators | Slashing | 01/21/2015 | Toronto Maple Leafs | Home | Frederick L'Ecuyer, Marc Joannette
Milan Michalek | Ottawa Senators | Fighting (maj) | 01/21/2015 | Toronto Maple Leafs | Home | Frederick L'Ecuyer, Marc Joannette
Kyle Turris | Ottawa Senators | Hooking | 01/21/2015 | Toronto Maple Leafs | Home | Frederick L'Ecuyer, Marc Joannette
Erik Karlsson | Ottawa Senators | Interference | 01/21/2015 | Toronto Maple Leafs | Home | Frederick L'Ecuyer, Marc Joannette
Alex Chiasson | Ottawa Senators | Hi-sticking | 01/21/2015 | Toronto Maple Leafs | Home | Frederick L'Ecuyer, Marc Joannette
Marc Methot | Ottawa Senators | Holding | 01/29/2015 | Dallas Stars | Home | Mike Leggo, Jean Hebert
Eric Gryba | Ottawa Senators | Hooking | 01/29/2015 | Dallas Stars | Home | Mike Leggo, Jean Hebert
Jean-Gabriel Pageau | Ottawa Senators | Tripping | 01/29/2015 | Dallas Stars | Home | Mike Leggo, Jean Hebert
Erik Karlsson | Ottawa Senators | Roughing | 01/29/2015 | Dallas Stars | Home | Mike Leggo, Jean Hebert
